id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
1,1043,1,1.8,1,14,0,5,0.1,193,3,16,226,1412,3476,12,7,2,0,1,0
2,841,1,0.5,1,4,1,61,0.8,191,5,12,746,857,3895,6,0,7,1,0,0
3,1807,1,2.8,0,1,0,27,0.9,186,3,4,1270,1366,2396,17,10,10,0,1,1
4,1546,0,0.5,1,18,1,25,0.5,96,8,20,295,1752,3893,10,0,7,1,1,0
5,1434,0,1.4,0,11,1,49,0.5,108,6,18,749,810,1773,15,8,7,1,0,1
6,1464,1,2.9,1,5,1,50,0.8,198,8,9,569,939,3506,10,7,3,1,1,1
7,1718,0,2.4,0,1,0,47,1,156,2,3,1283,1374,3873,14,2,10,0,0,0
8,833,0,2.4,1,0,0,62,0.8,111,1,2,1312,1880,1495,7,2,18,0,1,1
9,1111,1,2.9,1,9,1,25,0.6,101,5,19,556,876,3485,11,9,10,1,1,0
10,1520,0,0.5,0,1,0,25,0.5,171,3,20,52,1009,651,6,0,5,1,0,1
11,1500,0,2.2,0,2,0,55,0.6,80,7,6,503,1336,3866,13,7,20,0,1,0
12,1343,0,2.9,0,2,1,34,0.8,171,3,6,235,1671,3911,15,8,8,1,1,1
13,900,1,1.4,1,0,0,30,1,87,2,3,829,1893,439,6,2,20,1,0,0
14,1190,1,2.2,1,5,0,19,0.9,158,5,15,227,1856,992,13,0,16,1,1,0
15,630,0,1.8,0,8,1,51,0.9,193,8,9,1315,1323,2751,17,6,3,1,1,0
16,1846,1,1,0,5,1,53,0.7,106,8,7,185,1832,563,9,5,10,1,0,1
17,1985,0,0.5,1,14,1,26,1,163,2,17,613,1511,2083,13,3,14,1,1,0
18,1042,0,2.9,0,5,1,48,0.2,186,4,15,335,532,2187,9,2,5,1,0,0
19,1231,1,1.7,1,2,1,37,0.2,194,2,3,82,1771,3902,19,12,15,1,0,1
20,1488,0,2.6,0,9,0,37,0.7,189,4,20,47,559,2524,5,0,6,0,0,0
21,968,0,0.6,0,8,1,7,0.7,151,1,17,504,1930,1357,15,1,16,1,1,0
22,529,0,2.6,1,1,0,60,0.5,101,5,5,521,1591,3456,13,11,9,0,1,0
23,1558,0,1.7,1,7,0,50,0.1,115,2,10,777,1587,1641,17,0,9,0,1,1
24,533,1,0.7,1,16,0,58,0.8,97,5,18,512,1111,2322,17,3,2,0,1,0
25,1037,0,1.7,1,1,0,5,0.7,125,3,6,1194,1321,3862,17,4,7,1,1,0
26,1025,0,1.6,1,6,1,43,0.7,122,3,16,1003,1306,557,15,10,14,1,1,1
27,1858,0,3,1,0,0,17,0.6,124,4,1,575,1200,2427,16,11,13,1,1,0
28,980,0,0.5,0,1,0,8,0.1,91,5,5,54,658,625,17,3,7,0,1,1
29,644,1,0.5,1,9,0,15,0.2,139,5,10,627,630,3836,10,9,10,1,0,1
30,1024,1,1.6,1,0,1,38,0.8,81,2,0,129,1048,854,11,3,10,1,0,0
31,1981,0,2.9,1,2,1,11,0.3,184,8,13,876,1408,2383,11,2,18,1,0,0
32,1380,0,2.6,1,15,1,56,0.5,187,8,16,501,643,926,9,5,7,1,0,0
33,1557,1,1.7,1,1,0,32,0.3,152,7,11,1407,1633,3048,17,11,7,1,0,0
34,1201,1,2.2,1,10,0,49,0.8,175,4,20,722,992,824,18,13,9,1,0,0
35,1074,1,1.2,0,0,0,45,0.8,193,3,6,1219,1904,874,11,7,2,1,0,0
36,1175,1,2.1,0,3,0,33,0.9,124,6,8,119,1777,1617,5,3,7,0,0,1
37,1280,0,0.9,1,4,1,8,0.6,96,6,5,753,1557,3309,17,16,8,1,0,1
38,1715,0,0.6,1,1,1,28,0.4,112,6,16,162,847,1786,19,2,12,1,0,1
39,1165,0,0.9,0,4,0,40,0.9,150,2,11,313,528,3128,13,0,14,1,0,0
40,567,0,2.6,0,0,0,2,0.2,87,4,1,181,566,2243,16,6,10,0,1,1
41,1952,1,1.4,0,2,0,47,0.8,190,2,10,1416,1892,994,9,5,17,0,1,1
42,822,1,1.4,1,2,0,43,0.3,189,8,7,645,851,2749,13,4,16,1,0,1
43,685,1,0.5,1,0,0,12,0.5,121,6,15,79,633,793,5,4,11,0,0,1
44,1388,1,0.6,1,12,1,17,0.6,174,5,19,153,972,324,14,0,3,1,0,0
45,1972,0,2.1,0,2,0,48,0.6,188,3,14,480,748,366,5,3,17,1,1,0
46,1411,1,1.7,0,9,1,57,0.5,80,7,17,700,1234,1228,17,3,7,1,1,0
47,1094,0,2.3,1,2,0,20,0.9,135,1,5,221,610,1413,7,0,16,0,1,1
48,1653,0,0.7,1,1,1,13,0.5,114,4,15,1585,1896,2617,16,4,18,1,1,1
49,916,0,2,1,9,0,33,0.7,142,7,20,65,1867,1798,11,5,5,1,1,0
50,1712,0,0.8,0,1,0,29,0.3,149,7,6,556,816,2693,7,1,5,1,1,0
51,882,1,0.9,1,13,0,32,0.8,103,8,14,224,764,2437,17,14,15,0,1,1
52,632,0,1.2,0,6,1,33,0.5,101,2,10,705,992,837,16,4,3,1,0,0
53,1442,1,0.5,1,0,0,56,0.4,165,3,3,709,1695,2815,6,0,8,0,1,1
54,900,0,1.9,0,11,0,47,0.2,150,8,14,97,663,1440,14,2,4,1,1,1
55,1630,1,0.6,1,4,0,20,0.9,153,7,10,1131,1360,3470,17,6,4,1,1,0
56,1596,1,1.4,1,6,0,24,0.3,174,5,15,359,1022,1251,18,15,2,1,1,1
57,1272,1,0.5,0,9,1,54,0.6,133,8,11,1813,1871,3181,10,6,14,1,0,1
58,1640,0,2.5,1,1,0,7,0.2,135,4,2,839,1788,1361,9,1,7,0,1,1
59,1111,0,1.4,1,10,0,15,0.5,198,7,14,550,666,1630,13,5,2,1,0,1
60,1889,1,2.9,0,15,0,25,0.3,90,2,17,443,755,3689,9,6,2,1,0,1
61,1907,1,1.1,1,1,0,22,0.1,80,8,4,502,1113,3586,11,2,6,1,0,1
62,529,0,2.5,1,5,0,56,0.3,139,4,6,130,647,3942,10,0,7,0,0,1
63,578,0,0.5,0,3,1,38,0.7,121,6,5,19,667,1431,5,0,7,1,0,0
64,1634,1,2.3,1,2,1,39,0.4,164,1,7,386,636,2167,12,0,20,1,1,1
65,1533,1,1.2,1,1,1,22,0.6,172,3,15,22,1345,1248,9,2,9,1,0,0
66,660,0,0.6,0,5,1,47,0.1,83,3,6,49,1552,1986,8,0,15,1,1,0
67,1847,1,1.6,0,10,1,28,0.2,111,4,14,1497,1508,1378,5,2,18,1,0,1
68,1206,1,0.5,1,6,0,10,0.8,134,8,20,1327,1361,2959,5,1,20,0,0,1
69,549,1,0.5,0,3,1,53,0.8,173,5,5,555,1386,1893,5,2,19,1,1,1
70,1705,1,2.8,0,2,1,23,1,122,3,20,1560,1808,1676,8,6,20,1,1,1
71,1366,0,0.5,1,4,0,36,0.1,185,1,16,346,702,1912,17,13,19,0,0,1
72,1991,0,0.5,0,5,0,58,0.6,109,5,6,912,1660,1947,10,5,7,1,0,1
73,1102,1,1.2,0,5,1,40,1,175,3,14,756,882,2734,15,12,4,1,1,0
74,1452,0,1.1,0,3,1,32,0.5,175,3,5,699,1704,3617,16,1,12,1,1,0
75,1810,1,1.1,1,6,0,63,0.9,151,1,19,582,1752,3414,18,10,10,1,0,0
76,1166,1,2.2,1,2,1,41,1,165,7,4,680,1078,482,19,11,11,1,1,1
77,881,1,0.8,1,5,0,6,0.4,117,6,12,814,1015,2813,18,1,17,1,0,1
78,1134,1,0.5,1,0,1,64,0.5,166,5,0,672,1597,661,13,7,20,1,0,0
79,1031,1,2,1,1,1,20,0.7,177,1,4,450,911,2546,9,6,12,1,0,1
80,1376,1,2.4,1,0,1,34,0.4,167,6,1,757,1371,3922,5,0,2,1,0,0
81,1391,0,1.4,1,2,1,56,0.1,137,5,8,208,900,1199,15,8,10,1,1,1
82,979,0,2.1,0,6,0,24,0.6,124,5,16,1194,1256,3779,7,2,20,0,1,0
83,1075,1,1.9,0,0,0,36,0.6,127,4,3,1335,1427,3870,8,3,20,1,1,0
84,968,0,0.5,1,13,1,61,0.1,168,8,16,91,1585,858,8,7,11,1,1,0
85,1999,0,0.5,1,1,1,15,0.7,183,8,11,33,653,3840,19,17,12,1,0,1
86,1626,0,2.7,0,3,0,20,0.1,164,2,17,1095,1499,454,8,4,6,1,1,0
87,942,0,1.7,1,14,0,28,0.8,153,8,20,336,797,3953,13,11,7,0,0,1
88,1182,0,1.7,0,4,1,42,0.9,189,3,20,659,661,1633,14,3,6,1,0,1
89,1982,1,0.8,1,9,0,48,0.4,98,6,16,183,709,3035,10,4,9,1,0,1
90,1373,0,1.4,1,3,0,27,0.6,80,8,6,652,1100,966,14,0,9,0,0,1
91,1151,0,1.7,1,8,0,44,0.5,107,8,17,410,1014,1761,7,4,10,1,0,0
92,1650,1,2.1,1,6,0,51,0.9,99,5,15,440,1416,1938,14,0,3,0,1,1
93,1663,1,0.6,1,0,0,17,0.7,152,4,2,532,886,2820,14,1,5,1,1,1
94,1965,1,0.5,0,0,1,3,0.9,168,7,17,1373,1949,305,6,0,20,1,0,0
95,679,0,0.9,1,0,0,41,0.3,154,4,1,773,920,2838,19,7,6,0,0,1
96,1465,0,2.5,0,2,0,3,1,90,5,8,965,974,2042,8,2,12,0,1,1
97,1809,1,2.2,1,3,0,27,0.3,137,5,19,568,1864,700,11,10,12,1,0,0
98,757,1,2.4,1,8,1,26,0.2,164,8,17,652,1157,2593,19,3,15,1,0,1
99,1034,1,0.7,0,7,1,47,0.2,105,6,15,214,1463,1835,8,1,9,1,0,0
100,1119,1,2.5,0,9,0,23,0.8,81,4,19,423,1003,3121,15,4,5,0,1,0
101,559,1,0.5,1,0,1,24,0.8,103,4,5,537,627,2023,14,1,2,1,0,0
102,1204,1,1.8,0,9,0,19,0.8,113,8,15,667,1872,737,10,5,18,0,0,0
103,1008,0,2.3,1,4,1,15,0.4,89,8,19,491,692,450,11,7,18,1,0,0
104,1397,1,2.7,1,4,0,19,0.5,146,7,13,1037,1829,2928,12,2,4,0,0,0
105,697,0,0.6,1,0,1,34,0.1,114,4,6,325,610,1694,14,8,8,1,0,1
106,1939,1,1.3,0,5,0,58,0.3,174,2,17,49,974,2593,11,6,6,0,0,1
107,1039,0,1.9,1,2,0,15,0.7,113,1,5,1324,1945,745,9,2,10,0,0,0
108,1605,1,1.3,0,1,1,51,0.8,83,4,20,597,921,1310,11,9,10,1,1,1
109,1094,0,1.6,1,2,0,34,0.6,128,8,4,765,836,2743,9,3,20,0,0,1
110,769,1,0.5,1,1,1,30,0.8,190,3,9,470,1115,3976,12,10,11,1,0,1
111,861,1,0.6,1,0,0,40,0.1,132,2,13,653,1062,3931,18,14,2,0,0,0
112,504,0,0.9,1,4,0,63,1,169,2,16,463,1609,3455,17,15,15,0,0,1
113,1930,1,1.6,1,5,1,64,0.3,119,4,17,325,1205,1533,5,1,6,1,0,1
114,1795,1,0.6,1,10,0,52,0.3,140,2,16,855,910,3876,18,17,2,1,0,0
115,1363,0,1.6,1,3,1,2,0.9,159,7,6,912,1684,3239,11,5,11,1,0,0
116,1376,1,2.8,0,3,1,38,0.1,195,2,4,492,1110,3628,13,2,13,1,0,0
117,1981,1,0.5,0,2,0,19,0.4,123,7,3,605,769,3663,15,0,2,1,0,0
118,1901,0,2.7,0,4,0,62,0.7,133,3,17,401,1989,1786,16,10,5,0,1,1
119,1319,0,1.3,1,10,0,5,0.1,140,8,17,366,1821,3502,14,6,3,1,0,0
120,859,1,2.7,0,5,0,58,0.4,178,1,16,1225,1358,815,10,4,2,1,0,1
121,1664,1,2.1,0,10,0,25,0.1,147,3,11,573,856,275,9,3,11,1,1,1
122,955,0,0.5,1,0,0,62,0.4,151,1,1,261,538,3758,15,3,18,1,1,1
123,517,0,1.5,1,3,0,38,0.1,97,7,4,680,1138,2747,11,5,2,0,1,1
124,1806,0,1.1,0,2,1,64,0.3,133,5,7,280,683,1809,7,6,6,1,1,1
125,1348,0,0.8,0,6,1,50,0.1,123,4,11,565,1443,2086,12,8,20,1,0,0
126,1455,0,1.4,0,0,0,16,0.4,164,1,1,1379,1673,444,14,2,7,0,1,0
127,1611,0,1.7,1,5,0,25,0.6,92,5,18,949,1297,3467,9,1,8,1,1,1
128,1573,1,3,1,3,1,24,1,125,8,5,703,911,2776,5,3,17,1,1,1
129,557,0,0.5,0,0,1,23,0.5,197,5,1,1264,1682,3170,12,2,7,1,1,0
130,1599,1,0.5,0,4,0,31,0.1,130,2,5,1816,1917,1234,11,10,9,0,1,0
131,1051,1,0.9,1,0,0,16,0.1,100,7,9,108,894,305,12,0,3,1,1,1
132,1857,1,1.4,1,0,0,14,0.9,102,2,0,1328,1743,1745,15,10,20,0,0,0
133,1986,0,0.5,0,6,0,24,0.9,174,6,9,797,1061,1707,5,3,12,1,0,1
134,591,1,0.7,0,1,0,21,0.1,185,6,7,361,555,2220,11,10,13,1,1,0
135,1140,0,1.6,1,0,1,56,0.3,131,7,4,1049,1715,3130,6,5,9,1,0,1
136,923,1,0.6,0,0,1,10,0.8,80,2,3,357,1718,1500,18,9,9,1,1,0
137,1582,0,0.5,0,0,0,33,0.4,200,1,9,197,764,2145,9,7,18,1,1,1
138,723,0,0.5,0,5,0,63,0.5,172,8,14,906,1801,488,5,0,8,1,0,1
139,1251,1,3,1,3,1,54,0.8,83,5,4,806,1405,3863,6,1,14,1,1,0
140,574,1,1,1,4,1,60,0.1,139,2,7,924,1498,2913,14,0,9,1,0,0
141,948,1,0.5,1,5,1,60,0.2,116,2,10,223,1148,2094,12,7,15,1,1,1
142,1571,0,2.8,1,4,0,44,0.4,194,5,5,140,718,3141,8,1,17,0,0,1
143,564,1,0.5,0,2,0,33,0.6,192,1,6,113,863,2573,13,6,2,0,1,1
144,1466,0,2.4,1,14,1,57,0.9,155,6,18,1531,1727,2340,18,15,4,1,1,0
145,597,1,3,1,0,0,16,0.5,140,2,0,35,708,3788,12,0,5,0,0,1
146,895,1,2.5,1,10,1,9,0.5,148,7,14,1524,1691,3445,11,5,15,1,0,0
147,1535,0,2.5,1,13,1,37,1,82,4,16,838,1667,3241,6,0,15,1,0,1
148,1832,1,0.7,0,7,0,44,0.3,125,2,17,495,596,2976,19,3,9,0,0,0
149,1045,1,1.6,0,0,1,58,0.2,177,4,12,1212,1772,2241,19,15,11,1,1,0
150,1483,1,0.8,0,4,1,61,0.6,128,1,10,655,814,3843,11,8,20,1,0,1
151,976,0,2,0,0,1,5,0.9,184,7,14,496,797,3261,8,2,6,1,1,1
152,1840,1,1.1,1,0,0,46,0.1,123,4,2,800,1521,3264,8,4,16,0,1,0
153,1807,0,0.6,1,0,0,8,0.1,89,8,15,1010,1425,826,11,1,20,0,0,0
154,624,1,1.6,1,14,0,30,0.1,192,2,16,102,1052,1314,16,1,10,0,1,1
155,1963,0,0.5,0,7,1,38,0.4,193,3,15,948,1406,2699,7,0,10,1,1,0
156,1307,1,0.5,0,0,1,4,0.3,132,4,1,82,1236,2565,8,4,19,1,1,1
157,1933,1,0.5,1,6,0,23,0.1,102,7,7,1286,1846,3973,13,10,19,0,0,1
158,1496,1,1.3,1,0,0,42,0.9,124,2,5,264,995,3537,15,14,6,1,0,0
159,1532,1,2,0,0,0,7,0.2,134,2,10,75,834,3449,5,4,7,1,1,1
160,1004,0,1.1,1,7,1,8,0.8,97,2,9,461,919,3895,14,13,20,1,1,0
161,1483,1,1.2,1,10,1,38,0.1,87,5,14,321,1410,2777,17,9,16,1,1,0
162,945,0,2.4,0,3,0,47,0.4,141,2,11,120,1341,2904,19,14,5,0,0,0
163,1081,0,3,0,7,1,17,0.1,89,5,17,174,1683,3774,17,15,16,1,1,0
164,1012,0,2.8,1,6,1,32,0.9,87,3,14,1341,1997,3034,17,5,10,1,1,0
165,1762,0,1,0,5,0,50,0.9,104,3,12,1337,1684,2940,19,18,15,0,0,1
166,796,1,2.3,1,1,1,36,0.3,127,8,14,494,935,3932,5,1,5,1,1,1
167,1547,0,2.5,0,12,1,50,1,98,5,16,849,1024,1168,17,2,17,1,1,1
168,988,0,1.6,0,6,1,12,0.8,132,4,8,644,1291,376,9,1,17,1,0,1
169,1180,1,3,0,7,1,43,0.8,102,1,16,1557,1985,3510,9,5,13,1,1,1
170,852,1,1.9,0,3,1,3,0.5,161,2,4,376,872,542,14,9,9,1,0,1
171,607,1,0.8,0,1,1,18,0.2,146,7,3,151,532,550,12,1,12,1,0,1
172,1765,0,0.5,0,0,0,24,0.4,135,1,0,450,830,791,5,1,4,1,0,1
173,1250,0,0.5,0,18,0,63,0.7,165,1,19,1336,1532,1895,13,6,7,0,1,0
174,1577,0,2.6,1,0,0,55,0.5,109,5,0,1411,1718,609,6,0,20,1,1,1
175,1153,1,0.5,1,5,0,14,0.2,135,5,6,742,1236,263,19,10,14,1,0,1
176,651,1,0.7,0,0,0,35,0.4,113,7,5,1046,1414,2141,13,4,19,1,1,1
177,1186,1,2.3,1,1,0,25,0.1,88,4,7,85,1012,1270,18,9,17,0,1,0
178,1429,1,2.5,0,6,0,33,0.1,121,5,7,889,1846,403,11,6,18,1,1,1
179,556,0,0.9,0,4,1,10,0.8,135,8,12,182,688,2040,13,12,2,1,0,0
180,1735,1,2.7,0,5,1,21,0.1,126,3,8,282,1261,2597,16,12,8,1,0,1
181,1859,0,0.7,0,8,1,42,0.1,127,2,16,1168,1612,714,19,7,16,1,0,1
182,915,0,1.3,0,3,0,10,0.1,188,2,5,74,1266,423,13,3,14,0,1,1
183,890,0,0.5,0,5,0,9,0.4,113,1,10,457,1134,1238,6,2,17,0,0,1
184,758,0,2.8,0,13,0,48,0.7,101,3,18,1842,1896,926,9,5,18,0,0,0
185,541,0,2.1,0,0,1,28,0.4,156,7,4,103,1039,2704,14,0,5,1,1,0
186,586,0,2.9,1,6,1,33,0.2,195,8,17,1470,1644,2817,5,2,5,1,1,1
187,762,1,0.6,1,11,1,39,0.7,164,1,14,1065,1686,2271,12,7,8,1,1,0
188,683,0,0.5,1,0,1,9,0.8,186,7,3,1466,1754,1513,6,5,19,1,0,0
189,1526,0,0.7,1,10,0,39,0.4,125,3,20,563,1439,339,10,9,19,1,0,1
190,1771,1,2.4,0,6,0,39,0.7,188,2,9,460,1203,794,9,1,16,1,1,1
191,639,0,1.3,0,5,0,28,0.9,113,7,16,983,1369,391,6,2,12,0,0,1
192,1783,1,0.9,0,7,1,23,0.9,137,2,8,1114,1953,541,9,5,11,1,1,0
193,1933,0,1.2,0,16,1,55,0.2,166,5,20,729,1248,648,10,7,13,1,1,0
194,1384,0,1.3,1,3,1,62,0.4,153,1,5,1240,1393,3386,19,1,2,1,1,0
195,1770,0,2.6,0,12,0,26,0.5,80,1,17,98,1724,1651,18,6,14,0,0,0
196,1202,0,0.8,0,2,0,49,0.5,131,1,8,197,1435,1177,15,13,7,1,1,1
197,885,0,0.5,1,2,0,3,0.5,163,7,8,813,1666,2887,5,1,13,0,0,1
198,1629,1,2.3,0,2,1,2,0.8,86,6,19,1055,1200,2178,19,10,18,1,1,0
199,1072,1,0.5,1,6,1,4,0.5,92,1,12,1019,1640,2878,7,5,13,1,0,1
200,1863,1,2.5,1,0,0,64,0.7,89,5,1,159,618,3201,5,4,19,1,1,0
201,1739,0,2.3,1,1,0,51,0.4,140,4,15,406,691,1490,5,1,9,0,1,1
202,895,1,2.5,0,2,0,23,0.5,98,5,3,26,663,2724,16,14,7,0,0,0
203,1278,1,2.8,1,0,0,56,0.6,179,1,7,406,1698,3032,9,5,6,0,0,1
204,562,1,1.1,1,1,1,43,0.3,141,6,17,918,991,3352,13,12,17,1,1,0
205,1249,1,2.1,1,0,0,38,0.8,193,5,10,940,1290,3195,19,7,17,0,0,0
206,1811,0,1.2,0,18,1,25,0.8,185,6,19,1411,1443,1677,10,6,2,1,1,0
207,560,1,2.9,1,1,1,12,1,161,5,19,465,1797,2620,13,0,16,1,1,1
208,1773,1,0.5,0,14,1,61,0.1,141,7,20,847,1562,1061,17,4,15,1,0,1
209,1715,1,2.1,0,5,0,11,0.4,100,3,10,314,1276,1018,16,5,8,1,1,1
210,725,0,0.5,1,0,1,26,0.8,176,5,1,829,960,1370,7,6,9,1,1,1
211,800,1,2.2,0,5,1,41,0.1,103,6,9,185,1008,2094,17,16,6,1,0,1
212,1300,0,0.5,0,6,1,43,0.1,156,3,12,589,1815,2790,15,4,19,1,0,0
213,1001,0,0.8,0,0,0,48,1,98,5,0,471,655,1485,10,2,11,1,1,1
214,500,0,1.3,1,13,0,64,0.9,134,4,17,1384,1912,2807,19,7,7,0,0,1
215,1378,1,2.5,1,4,1,52,0.5,184,3,7,13,641,3528,5,1,7,1,0,0
216,951,1,2.4,0,1,1,24,0.1,147,8,20,897,1964,3391,19,4,7,1,0,0
217,1038,1,0.5,1,1,0,48,0.2,99,6,2,83,1103,1073,5,4,2,0,0,1
218,987,1,1.2,1,1,0,20,0.9,108,6,5,237,1427,2811,7,4,17,1,0,0
219,1698,0,0.5,0,6,1,21,0.1,196,7,7,614,1254,778,7,3,3,1,1,1
220,1762,1,0.9,1,14,0,11,0.1,107,4,17,647,801,3628,9,3,10,0,0,1
221,785,0,2.4,0,6,0,16,0.2,135,3,13,223,1366,2637,12,8,16,0,0,0
222,1851,0,2.4,1,2,0,59,0.1,151,3,18,278,1198,2892,10,0,5,1,1,0
223,1698,0,0.5,1,2,0,62,0.4,189,3,13,1459,1565,2805,11,2,19,0,0,1
224,1976,0,2.8,0,0,0,4,0.8,93,8,1,1146,1436,804,5,1,14,0,1,0
225,1649,1,0.5,0,4,1,53,0.4,162,4,11,261,1316,361,12,7,19,1,1,1
226,1157,1,2.6,1,4,0,4,0.9,149,7,6,878,1737,1453,17,10,9,1,0,0
227,1702,0,0.5,0,1,1,54,0.4,131,5,2,1112,1578,359,13,12,5,1,1,0
228,1040,1,0.6,0,0,0,54,0.3,199,2,5,458,959,3886,15,5,20,0,1,1
229,790,1,2.1,1,2,1,29,0.7,106,6,11,521,1996,557,11,2,2,1,1,1
230,1429,0,2.9,0,2,0,58,0.2,128,4,3,417,983,2005,15,1,9,0,1,0
231,739,1,3,0,14,0,56,0.7,103,8,20,134,1696,630,17,2,11,1,0,0
232,1364,1,1.6,1,6,1,44,0.1,174,7,8,615,1142,2741,9,3,18,1,0,1
233,1580,0,2.8,1,0,0,45,1,196,8,7,1017,1092,2214,12,9,19,0,0,1
234,1384,1,2.2,1,0,0,49,0.7,189,1,0,725,1741,1387,13,3,13,1,1,1
235,1037,0,2.9,1,2,0,57,0.7,83,6,5,749,965,3148,16,13,9,1,0,0
236,1519,0,1.5,0,12,0,43,0.1,183,1,14,868,1637,853,5,0,7,0,1,1
237,989,0,0.5,0,15,0,20,0.4,153,1,16,68,947,3614,17,5,10,1,1,0
238,1040,1,0.5,1,3,0,41,0.8,116,3,18,299,608,1006,12,7,18,0,0,1
239,1240,1,1.4,0,3,1,9,0.9,93,5,7,477,1319,3959,14,9,15,1,0,0
240,1273,1,2,0,15,1,7,0.9,143,1,16,288,706,1743,12,7,13,1,1,0
241,1784,0,0.5,0,8,0,28,0.3,171,4,9,1145,1680,2192,15,13,2,1,0,0
242,1169,1,1.4,1,7,1,51,0.1,177,7,19,515,720,329,14,6,13,1,0,1
243,703,1,2.4,0,1,1,27,0.1,138,1,6,47,1820,502,12,4,11,1,1,1
244,959,1,1,0,5,1,15,0.4,119,5,9,121,934,3000,15,0,15,1,1,1
245,1292,1,3,1,1,1,63,0.3,157,6,8,452,1309,1413,13,2,10,1,1,1
246,1927,1,2.1,0,0,0,5,0.9,139,6,1,603,1228,2913,15,10,8,0,0,0
247,1477,1,1.7,0,1,0,15,0.4,178,8,5,1381,1459,2684,18,13,8,1,1,1
248,1759,0,0.5,1,9,0,58,0.2,101,2,12,510,615,3428,17,0,9,1,1,0
249,831,0,2.2,0,0,1,31,0.3,197,3,1,1460,1591,1629,8,1,5,1,1,0
