id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
250,1803,0,1.1,1,1,1,41,0.2,146,2,10,102,613,1873,14,1,20,1,1,1
251,1361,0,0.6,0,0,1,64,1,91,3,2,174,574,3751,18,6,19,1,1,0
252,1183,1,1.4,0,1,0,32,0.8,197,1,4,884,1475,637,12,6,16,0,0,1
253,917,1,1.3,0,0,0,53,0.2,166,5,1,750,1339,603,12,6,7,1,0,1
254,1278,1,0.5,1,2,0,7,1,192,5,3,319,587,3067,10,2,4,1,1,1
255,1247,1,0.5,0,0,0,28,0.4,191,7,5,901,1447,3268,16,3,15,0,1,0
256,930,0,1,1,5,1,40,0.8,128,7,15,775,1224,3816,13,0,2,1,1,1
257,1019,0,1.7,1,0,1,5,0.7,177,3,8,889,1840,1850,10,5,11,1,0,1
258,1855,1,0.8,0,0,1,26,0.8,161,4,0,986,1339,3481,8,7,19,1,1,1
259,1730,0,0.5,1,4,0,54,0.7,93,3,7,283,1151,1695,19,5,17,0,1,0
260,1972,0,2.2,1,4,1,5,0.9,95,3,19,955,1781,625,10,1,10,1,1,1
261,1887,0,2.3,1,4,0,35,0.9,115,2,7,178,1275,3203,7,5,15,1,0,0
262,1590,0,1.9,0,0,0,13,0.4,111,6,1,759,1187,2440,19,0,3,1,0,1
263,603,1,2.7,0,0,1,42,0.2,135,8,0,746,754,1934,14,10,11,1,0,0
264,560,1,2.1,0,11,1,37,0.6,121,4,14,237,551,3278,15,9,7,1,1,0
265,1981,1,1.6,1,10,0,34,0.1,117,5,20,929,1552,3764,11,4,14,1,0,1
266,1190,1,2.1,0,0,1,18,0.6,160,6,2,644,1070,3571,6,5,5,1,0,0
267,1396,1,0.8,1,7,1,10,0.3,108,4,16,646,1721,3881,13,0,9,1,1,1
268,1598,1,1.7,1,0,0,57,0.9,89,1,1,371,783,1663,14,9,14,1,0,1
269,1692,0,2.2,0,5,1,11,0.1,151,3,7,1256,1386,524,5,2,10,1,1,0
270,628,1,0.5,0,0,1,26,0.5,106,8,2,389,517,1853,13,10,12,1,1,1
271,1883,0,0.7,1,1,0,6,0.9,145,6,4,123,1320,2067,8,0,9,1,0,1
272,819,1,0.5,0,5,1,16,0.1,163,1,10,663,1788,3325,15,5,16,1,0,0
273,651,0,1.6,1,0,1,7,0.6,129,1,6,1268,1423,2151,19,10,20,1,1,1
274,723,0,1.1,0,2,0,27,0.7,145,2,9,98,1175,2044,13,6,11,0,1,0
275,1367,1,0.9,0,2,1,58,0.6,184,4,20,721,1210,3946,16,9,9,1,0,0
276,1784,1,1.4,0,1,1,3,0.3,125,5,5,1424,1672,2110,10,5,8,1,0,1
277,1744,1,0.9,1,5,1,35,0.3,137,7,9,915,1554,656,17,4,7,1,0,0
278,1086,0,2.5,0,11,0,7,0.5,116,6,14,635,1839,3297,18,0,16,1,0,0
279,899,0,1.7,1,0,1,3,0.1,165,8,0,167,1239,1296,14,11,9,1,0,1
280,896,0,0.8,0,3,0,29,0.5,91,6,10,135,820,1650,16,6,13,1,0,0
281,1714,0,1.6,1,9,1,59,0.5,186,8,19,991,1274,2546,18,10,11,1,1,1
282,1395,1,0.6,0,5,0,38,0.3,167,6,16,896,1501,915,5,4,6,1,1,0
283,786,0,1.8,1,2,0,28,0.5,198,1,7,3,1058,331,14,2,2,1,0,1
284,1687,0,1.2,1,4,0,14,0.9,120,2,14,924,1461,3975,19,3,10,0,1,1
285,669,1,2.6,1,18,1,10,0.6,171,5,20,1300,1834,2801,6,2,10,1,0,0
286,1423,1,2.1,0,1,0,51,0.8,178,4,18,633,1371,3331,8,2,8,1,1,0
287,1600,0,2,1,5,0,44,0.1,98,1,8,735,1205,2939,8,3,19,1,1,1
288,1621,1,0.6,1,14,0,59,0.7,160,7,16,213,1120,2706,12,3,20,1,0,0
289,1672,1,1.9,0,10,0,37,0.3,194,7,15,495,839,1335,7,1,8,0,1,1
290,1934,0,2.7,0,9,1,48,0.1,128,4,18,475,853,3370,7,6,2,1,0,1
291,1650,1,0.6,0,0,0,62,0.3,81,3,15,1305,1918,2596,5,2,10,0,0,0
292,1700,0,0.5,1,1,0,33,0.8,189,5,2,382,1151,2477,9,8,3,0,0,1
293,1550,1,2,0,1,1,29,0.6,171,5,2,572,1499,3465,10,1,14,1,1,0
294,626,0,1.9,0,4,0,8,0.2,185,2,6,16,1410,2589,15,10,14,0,1,1
295,1737,1,2,1,0,0,14,0.4,156,5,2,1028,1757,2363,8,0,10,1,0,1
296,1370,0,1.7,0,1,0,6,0.7,113,1,7,482,1689,1302,7,3,3,0,0,1
297,1899,1,0.8,1,15,0,14,0.4,191,4,16,1200,1345,1677,5,1,14,0,0,1
298,848,1,0.6,0,0,0,31,0.7,123,5,1,299,756,1108,15,6,18,1,1,0
299,1430,1,2,1,0,1,16,0.2,171,4,1,696,757,2916,6,3,10,1,1,0
300,768,1,0.5,1,1,0,45,0.1,175,4,16,1164,1376,3947,6,1,12,1,1,0
301,1856,1,1.9,1,9,1,15,0.5,160,3,14,450,714,1514,7,1,13,1,1,0
302,900,1,0.5,0,11,1,64,0.7,149,4,12,164,708,942,13,5,2,1,1,0
303,1729,0,2.3,1,0,0,38,0.2,136,7,8,77,1910,700,8,2,7,1,1,1
304,1533,1,2.8,0,3,0,42,0.2,87,1,13,1316,1618,3246,10,2,8,0,1,0
305,1210,1,2.3,0,0,0,63,0.9,141,6,4,51,1761,977,14,6,20,1,0,0
306,1880,1,1.8,1,1,1,10,0.5,198,8,4,1664,1708,3538,19,16,17,1,0,1
307,996,0,0.5,1,14,0,61,0.8,174,7,15,400,989,1235,11,10,16,1,1,1
308,1175,0,3,1,12,1,40,0.1,172,5,18,812,1251,1507,15,14,18,1,1,0
309,1773,0,0.5,1,7,0,33,0.3,143,5,13,831,1170,1994,16,9,20,1,0,0
310,1263,0,2.4,1,11,1,54,0.6,100,5,14,12,1857,458,12,5,15,1,0,0
311,1956,0,1.2,1,10,1,5,0.8,156,4,11,870,1753,2130,7,3,10,1,1,1
312,992,0,1.6,1,10,0,27,0.3,162,4,14,106,767,3894,15,9,13,1,0,1
313,911,1,1.7,0,1,1,13,0.3,126,5,2,713,760,1843,13,6,11,1,0,1
314,1979,0,0.5,1,15,0,54,0.3,136,3,19,669,1311,3151,12,1,20,1,1,1
315,1899,0,0.5,1,0,1,55,0.3,93,4,0,1359,1981,1796,7,4,11,1,0,1
316,1649,1,0.8,1,1,1,40,0.1,159,3,3,177,586,2755,15,9,3,1,0,1
317,1095,1,1.8,1,9,0,47,0.3,152,6,15,354,1827,1334,12,2,12,0,0,1
318,1074,0,0.7,0,0,1,61,0.6,117,4,11,305,1770,2791,7,1,12,1,0,1
319,656,0,2.7,1,0,1,48,0.2,164,2,0,303,508,1132,5,0,14,1,0,0
320,1394,1,2.7,1,7,0,8,0.8,150,3,9,215,1018,730,15,7,4,0,1,1
321,1632,1,1.1,0,2,1,45,0.8,132,4,3,22,1256,379,18,13,19,1,0,0
322,1225,0,2.9,0,13,0,35,0.5,128,3,17,1324,1490,1261,12,4,15,0,0,0
323,1337,1,2.4,1,0,0,48,0.9,107,6,2,819,1129,3213,10,5,15,0,0,0
324,1178,1,1.1,1,0,1,11,0.5,98,2,1,1549,1661,2106,17,10,4,1,0,1
325,1269,0,1.5,1,1,0,51,0.7,180,4,19,410,1782,827,15,6,12,1,1,0
326,1526,1,1.2,0,7,1,32,0.5,128,4,12,1152,1592,647,19,3,18,1,0,1
327,986,0,0.7,1,7,1,16,0.4,144,8,9,234,628,300,8,5,7,1,0,1
328,848,0,0.5,1,1,1,41,0.2,171,2,2,388,1015,3939,6,3,3,1,1,0
329,1904,1,0.5,1,8,0,14,0.5,95,4,13,636,828,2091,8,0,6,0,1,1
330,803,1,2.2,1,0,0,16,0.1,105,1,0,199,736,1492,17,12,18,1,0,0
331,1399,1,1.9,1,1,0,56,0.3,153,1,15,130,611,3128,17,2,19,1,1,0
332,788,1,1.5,1,0,1,22,0.5,163,4,6,1114,1732,3750,13,10,12,1,0,1
333,579,1,1.1,0,6,1,58,0.2,125,1,9,786,1685,1435,18,9,10,1,0,0
334,1010,0,0.7,1,4,1,28,0.5,195,8,5,117,841,3302,14,2,7,1,1,0
335,530,1,0.5,1,0,0,47,0.5,93,3,2,463,912,3455,19,8,2,1,1,1
336,1289,1,1.8,0,1,0,64,0.6,125,7,14,173,548,2782,9,3,14,0,0,1
337,1877,1,0.5,0,4,0,10,0.9,123,8,6,134,610,3969,6,0,7,0,0,1
338,1764,0,2.7,0,11,1,48,0.9,90,7,17,444,581,1589,19,10,20,1,1,1
339,1709,0,2.2,1,1,1,13,0.6,191,6,6,74,516,3899,16,13,3,1,0,1
340,1690,0,1.3,1,0,0,28,0.9,85,3,1,1304,1332,3571,18,2,6,1,0,1
341,600,0,2.5,1,3,0,9,0.2,145,4,10,584,714,2800,17,6,5,0,1,0
342,743,0,0.5,0,9,1,53,0.3,149,2,10,670,1070,2938,9,3,13,1,1,1
343,1850,0,2.2,1,9,0,41,0.8,133,8,13,27,518,3032,8,1,10,1,1,1
344,1297,0,0.5,1,12,0,17,0.1,196,1,14,559,813,3652,19,4,12,0,1,1
345,1706,0,1.8,1,10,1,44,0.2,137,5,13,716,1440,3238,5,3,20,1,0,0
346,1967,0,0.5,0,11,1,23,0.6,135,5,16,931,1726,325,16,0,3,1,0,1
347,1392,1,0.5,1,6,0,63,0.5,181,2,9,573,1468,3850,12,8,13,0,1,0
348,1248,1,2.1,1,2,1,12,0.1,170,2,3,328,1378,1266,11,0,6,1,1,0
349,894,1,0.5,1,2,0,27,0.3,192,2,6,932,1576,3454,9,4,14,0,1,0
350,1829,0,0.5,0,2,1,54,0.6,98,3,20,383,1160,1634,7,0,12,1,0,0
351,1372,0,0.6,0,3,1,42,0.7,124,6,10,68,1998,3208,18,5,9,1,1,1
352,1429,1,1,0,7,0,11,0.7,150,4,8,436,813,1955,7,5,2,1,1,0
353,706,0,0.5,1,10,1,4,0.8,190,5,18,204,966,3735,12,7,20,1,1,1
354,649,0,1.9,0,0,0,51,0.6,179,4,12,1174,1388,3446,11,5,18,0,1,1
355,1137,1,0.8,0,3,1,7,1,122,3,18,537,620,946,13,4,7,1,0,1
356,1320,1,0.5,1,11,1,6,0.2,164,1,14,1034,1836,1626,11,9,14,1,0,1
357,792,0,0.8,0,7,0,48,0.5,144,4,16,371,888,1583,15,2,20,0,1,1
358,918,1,2.7,0,7,0,25,0.9,149,7,8,178,1850,3676,6,2,2,1,0,1
359,929,1,0.5,1,7,1,13,1,146,7,8,213,1714,1704,15,2,5,1,0,0
360,767,1,0.5,1,4,0,30,0.8,100,5,8,798,1955,3485,9,1,4,1,0,1
361,1739,0,2.6,0,9,0,39,0.5,135,8,10,86,1957,1882,13,12,8,1,1,0
362,1315,0,0.5,0,0,1,15,0.4,134,1,0,489,624,3928,8,4,8,1,0,1
363,1388,0,1.4,1,4,1,31,0.6,184,1,14,1338,1443,346,8,2,12,1,0,0
364,1981,0,2.5,1,1,0,36,0.3,94,4,2,128,1457,395,9,7,15,0,1,0
365,569,0,0.5,1,1,1,53,1,170,8,20,457,1555,1243,17,10,10,1,1,0
366,1930,0,1.3,0,2,0,57,0.2,151,1,9,678,1117,682,16,10,8,0,0,1
367,725,1,0.5,0,10,0,61,0.8,108,3,17,260,508,3074,7,6,12,0,0,1
368,1690,0,2.2,0,0,0,51,0.8,130,8,15,713,1092,451,6,4,7,0,0,1
369,712,1,1.4,0,1,1,33,0.2,86,4,5,163,799,1471,15,0,10,1,0,0
370,1603,1,0.5,1,8,1,37,1,95,8,9,1430,1622,1748,15,10,5,1,1,0
371,1850,1,2.8,0,0,0,18,0.1,132,8,3,633,1382,1853,15,0,9,1,1,0
372,1472,1,0.7,1,4,1,41,1,145,3,6,242,619,1514,8,1,16,1,1,1
373,1858,0,0.7,1,1,1,43,0.2,167,5,3,1154,1473,1886,9,3,7,1,1,1
374,1543,1,2.6,1,0,1,46,0.8,116,8,13,48,679,3023,6,4,4,1,1,0
375,652,1,2.8,1,4,0,37,0.8,174,6,11,416,1652,2904,16,8,16,0,0,0
376,546,0,1.8,1,6,1,55,0.9,100,6,12,493,1477,628,12,3,10,1,1,1
377,1408,1,1.4,1,1,0,6,0.9,145,8,3,621,692,1833,9,1,19,0,1,0
378,1021,0,1.5,1,3,1,31,0.1,97,7,10,189,1327,1066,18,15,17,1,1,1
379,567,0,1.4,1,14,0,60,0.1,111,2,15,152,1326,1150,17,16,4,1,0,1
380,1967,1,2.6,1,4,0,62,1,91,8,10,1355,1850,2839,13,7,10,1,0,0
381,1658,0,2,1,8,1,61,0.1,180,3,20,443,1100,2857,7,1,5,1,0,1
382,1088,1,3,1,2,1,52,0.3,164,7,4,86,588,1447,19,16,15,1,1,1
383,542,1,0.7,0,2,1,12,0.2,185,2,3,1674,1969,3445,17,2,4,1,1,1
384,788,0,1.6,1,6,1,52,0.1,96,1,20,530,1436,1941,14,0,19,1,1,0
385,576,1,2.5,1,10,0,57,0.7,179,5,15,1009,1656,2522,11,5,12,0,1,0
386,950,1,1.6,0,5,1,41,0.5,188,3,20,193,727,2932,10,7,20,1,0,0
387,518,1,0.8,0,3,1,17,0.5,133,3,7,564,765,2239,7,3,7,1,1,1
388,1996,1,1.9,0,4,0,55,0.3,81,7,8,890,1661,1852,8,2,4,0,1,1
389,1197,0,2.9,0,6,1,38,0.1,83,6,17,1516,1910,3525,13,9,16,1,0,0
390,1006,1,2.5,1,9,0,14,0.7,186,1,12,348,640,1955,17,6,9,1,1,0
391,1679,1,1.5,0,2,1,4,0.1,133,4,3,349,531,1557,16,15,12,1,0,1
392,1262,0,1.4,1,7,1,64,0.1,116,7,16,37,1018,3060,5,1,4,1,1,1
393,560,0,1.3,1,13,0,29,1,160,1,19,906,1189,2832,16,1,7,1,0,0
394,904,0,2.4,0,5,1,55,0.6,158,4,13,529,764,2008,6,1,16,1,0,0
395,1834,1,2.1,0,1,1,55,0.1,137,3,10,670,1179,2420,15,3,8,1,0,1
396,681,0,1.2,1,8,0,13,0.8,87,3,17,288,621,292,12,10,18,0,0,1
397,687,0,0.6,1,13,1,14,0.4,185,2,16,721,1620,1580,19,4,19,1,1,1
398,863,0,2.9,0,11,1,52,0.8,119,6,13,1060,1547,1345,7,0,20,1,0,0
399,518,1,2.7,0,0,1,45,0.7,159,6,15,564,739,1208,10,9,9,1,1,0
400,1488,0,1.8,0,0,1,2,0.1,124,4,0,765,777,3349,17,6,2,1,0,0
401,944,0,2.4,0,0,0,35,0.5,127,3,1,7,719,2804,9,4,10,1,1,0
402,1283,0,0.5,1,6,0,48,0.5,176,6,9,880,964,1182,11,8,17,1,1,0
403,817,1,1,1,13,1,40,0.8,140,4,17,1180,1790,436,19,6,14,1,0,1
404,804,0,2.6,1,2,0,49,0.6,105,1,18,638,939,2256,16,1,7,1,0,1
405,1883,1,2.6,0,2,1,50,0.1,169,5,3,313,561,427,17,8,10,1,0,1
406,1177,0,0.5,0,5,1,2,0.9,141,7,12,490,793,715,19,5,4,1,0,0
407,1765,1,2,0,7,0,18,0.9,85,4,8,791,1580,1199,7,4,10,1,0,0
408,1997,0,2.1,0,10,1,60,0.7,84,8,16,1130,1687,788,17,15,8,1,0,1
409,989,1,2.6,1,1,0,14,0.2,148,4,11,513,1089,507,13,10,13,0,1,1
410,1370,1,0.6,1,0,1,56,0.5,124,6,3,919,1113,974,5,4,15,1,0,0
411,861,0,0.5,0,0,0,64,0.8,105,7,1,1376,1864,600,15,1,12,0,1,0
412,1745,0,1.8,0,0,0,45,0.1,110,2,2,1070,1445,2352,11,9,16,1,0,1
413,1187,0,0.6,1,0,1,4,0.7,92,8,0,709,1306,2518,14,12,20,1,1,1
414,1422,1,1.8,0,12,0,3,0.9,145,1,13,1023,1223,3941,9,7,2,0,0,0
415,658,1,2.4,0,0,1,38,1,94,8,1,479,1300,2585,19,2,8,1,0,0
416,1180,1,2.3,1,0,1,32,0.8,97,2,1,1603,1762,3504,17,7,10,1,1,1
417,521,1,2.6,1,1,1,64,0.8,200,4,11,575,1089,834,6,5,12,1,1,1
418,666,0,1.1,0,1,1,28,0.9,179,1,13,157,1466,3850,7,5,9,1,1,1
419,805,1,1.5,0,0,0,25,0.3,174,2,3,522,553,1580,15,13,3,1,0,0
420,1008,1,2.9,0,0,0,39,0.9,161,6,5,565,1228,3589,14,1,18,1,0,1
421,986,0,2.8,0,0,1,26,0.1,80,8,9,0,1214,1316,7,5,8,1,0,0
422,1655,0,2,0,0,0,23,0.6,192,2,1,586,641,1872,11,9,13,1,1,0
423,1391,1,0.5,0,0,1,53,0.2,114,5,1,996,1521,1114,8,0,17,1,0,1
424,1042,1,0.5,1,11,0,13,0.1,148,3,20,98,569,1715,17,7,7,1,1,1
425,916,1,1.1,1,5,1,44,0.9,116,3,16,893,1132,2367,8,5,7,1,0,1
426,681,0,2.6,0,1,0,29,0.9,162,3,7,1262,1332,575,15,5,4,1,1,1
427,1224,1,1.1,1,1,1,34,1,138,6,3,1545,1751,2992,13,5,3,1,1,0
428,1234,0,2.1,1,4,1,44,0.4,107,3,17,797,1054,2819,13,3,8,1,0,1
429,1093,1,2.7,0,8,0,63,0.5,138,8,9,605,1966,3556,13,2,13,0,0,1
430,583,0,0.5,0,9,1,33,0.9,136,5,18,1673,1774,3236,12,9,13,1,0,0
431,1598,1,1,1,8,1,49,0.5,115,2,14,537,1233,1313,12,2,7,1,1,0
432,1988,1,2.8,1,3,0,34,0.4,163,3,16,1221,1981,2872,7,6,20,1,1,1
433,1746,0,0.5,1,9,0,51,0.8,184,7,19,754,790,1822,18,17,15,0,1,0
434,907,1,2.7,0,8,0,53,0.7,156,2,13,10,1881,3469,8,5,12,1,0,0
435,1472,0,0.5,0,3,1,53,0.7,103,1,4,438,690,2001,14,0,14,1,1,1
436,916,1,1.3,0,5,0,10,0.8,173,4,8,43,1012,3706,9,8,15,0,1,0
437,1427,1,0.8,1,2,0,31,0.9,186,1,20,934,1005,2542,7,6,10,0,0,0
438,1101,1,2.9,1,3,0,5,0.5,141,5,7,90,642,1567,15,2,11,1,1,0
439,723,1,0.5,0,0,0,36,0.8,104,4,0,263,514,2669,17,6,16,0,0,1
440,1403,0,0.7,1,4,0,32,0.1,117,1,5,257,551,2499,16,10,4,0,0,1
441,657,1,0.8,1,4,0,45,0.1,87,1,6,843,1260,2273,15,12,10,0,1,0
442,1688,1,0.8,0,0,0,14,0.9,118,1,2,48,1425,1773,13,0,18,1,1,1
443,1086,0,0.5,0,10,0,35,0.6,125,7,17,577,1296,421,7,5,6,1,0,1
444,876,1,1.1,0,2,1,48,0.9,196,2,3,524,1225,630,17,9,18,1,0,1
445,1065,0,0.5,0,0,0,25,0.6,189,6,1,776,996,1114,5,1,19,0,0,1
446,1235,0,1.5,0,3,0,33,0.1,164,8,16,633,1891,1623,10,3,20,1,1,1
447,1959,1,2.7,0,0,1,2,0.2,92,3,11,992,1418,2125,14,7,8,1,1,0
448,650,1,1.5,0,12,0,48,0.8,187,4,14,986,1291,1622,8,6,19,1,1,1
449,1465,1,2.9,0,0,0,38,0.3,88,1,7,478,613,1162,14,10,10,1,1,1
450,1030,0,0.9,0,6,1,29,0.1,113,1,7,174,624,3762,5,4,12,1,0,0
451,853,1,1.9,1,17,1,26,0.5,94,6,18,114,817,3069,19,17,20,1,0,0
452,744,1,2.2,0,6,1,52,0.9,196,4,7,268,600,1571,7,5,18,1,1,1
453,583,1,1.1,1,15,0,24,0.4,168,2,19,301,1111,3260,14,6,14,1,1,0
454,690,0,0.5,0,2,0,62,0.3,88,1,9,633,1240,3206,16,10,19,1,0,0
455,683,1,1.9,1,16,1,56,0.1,190,1,17,144,585,592,17,9,3,1,0,0
456,590,0,2.3,1,2,0,30,0.3,178,3,14,486,825,1188,18,11,14,1,0,1
457,1266,1,1,0,0,1,2,0.7,87,7,1,640,1357,3067,11,10,16,1,0,1
458,815,1,1.8,0,9,0,18,0.9,83,7,12,243,525,2131,17,7,5,0,1,0
459,1893,1,1.5,1,0,1,42,0.5,179,1,3,1133,1851,1425,19,1,10,1,0,0
460,1202,0,2.5,1,3,0,22,0.4,112,2,8,1900,1959,291,5,2,4,0,0,0
461,1577,1,1.5,0,16,1,3,0.7,180,8,17,523,573,3116,13,6,16,1,1,0
462,1234,0,2.9,0,8,1,44,0.8,129,1,12,1783,1891,2440,7,4,19,1,1,0
463,717,0,1.8,0,1,1,25,0.4,173,5,8,668,1587,3631,6,5,6,1,0,1
464,1074,1,1.5,0,5,0,35,0.6,193,4,13,269,597,1104,16,10,15,0,1,0
465,1439,1,1.2,0,11,1,58,0.2,183,1,20,794,1552,3069,17,11,2,1,1,0
466,983,1,1.6,0,7,1,55,0.4,168,8,8,205,963,1425,14,0,4,1,1,0
467,1988,0,2.5,0,7,1,63,0.6,153,4,11,615,937,2276,13,7,11,1,0,0
468,1692,0,1.3,1,0,1,25,0.7,149,3,12,1111,1898,3192,9,4,3,1,1,1
469,718,1,0.5,1,2,0,35,0.9,181,4,5,1226,1763,3021,10,4,12,0,0,1
470,1519,0,0.5,0,0,1,36,0.6,93,8,2,661,1852,3082,18,11,9,1,0,0
471,776,0,3,1,9,0,9,0.5,110,2,12,584,974,1346,5,2,3,0,0,1
472,881,1,2.8,0,1,0,36,0.5,167,1,6,1381,1444,2354,19,10,5,1,1,1
473,1018,0,0.6,1,0,1,25,0.8,152,7,2,292,616,732,12,8,13,1,1,0
474,1031,1,0.5,1,2,1,31,0.1,82,8,19,737,1404,2305,10,4,4,1,1,0
475,875,0,1,0,14,0,37,0.6,151,7,20,1289,1668,2985,6,1,9,1,1,1
476,1341,0,1,0,5,1,40,0.2,128,5,12,1434,1700,265,19,3,3,1,1,1
477,560,1,2.4,0,4,1,5,0.3,106,1,8,1338,1386,2050,18,13,6,1,0,0
478,1719,0,2.1,0,0,1,63,0.7,189,7,2,589,1637,1669,14,0,13,1,0,1
479,1703,0,1.6,0,16,1,43,1,139,8,17,178,1972,585,13,11,17,1,1,1
480,1408,1,1.8,0,1,0,59,0.8,168,1,2,716,1470,342,8,0,8,1,0,1
481,701,1,0.8,0,3,0,53,0.2,87,4,7,1063,1149,1972,9,8,5,1,0,0
482,1560,1,0.5,0,14,0,47,0.3,172,2,18,910,1908,1540,17,7,3,0,0,0
483,695,1,1,0,4,0,51,0.8,93,5,5,174,538,2463,7,2,4,1,1,1
484,1487,0,0.6,0,18,1,6,0.8,191,4,19,665,1072,3259,11,9,13,1,0,1
485,1546,1,2.7,0,3,0,55,0.2,115,7,14,1425,1594,3371,16,7,15,0,0,1
486,511,1,0.7,0,12,1,43,0.4,120,4,15,1291,1583,3370,16,5,6,1,0,0
487,507,0,1.1,0,5,0,33,0.6,186,1,6,535,897,2884,18,7,7,0,0,0
488,1490,1,1.1,0,2,0,10,0.6,130,2,7,1357,1826,2994,16,1,8,1,0,1
489,1859,0,0.5,0,0,1,52,1,187,1,2,651,966,1604,15,12,10,1,0,0
490,1257,0,1.8,0,3,1,31,0.6,155,5,10,1006,1533,2014,15,8,12,1,0,0
491,926,0,2.7,1,0,1,29,0.7,118,5,18,349,1594,2709,5,4,18,1,0,1
492,1303,0,0.5,0,2,0,7,0.6,98,4,5,740,1908,2865,17,3,12,0,0,0
493,657,0,1.6,1,0,0,35,0.6,143,5,14,1189,1545,3617,17,14,14,0,0,1
494,1812,0,0.9,1,9,0,44,0.2,197,3,16,299,1212,3814,9,6,13,1,1,0
495,1943,0,0.5,1,0,1,29,0.4,121,1,1,440,1126,1990,5,2,11,1,1,1
496,1082,1,0.9,0,4,1,24,0.9,167,7,9,425,761,1428,16,0,12,1,1,0
497,721,1,2.6,0,1,0,49,0.6,168,4,8,35,598,3473,15,8,17,0,0,0
498,654,1,1.5,1,2,0,56,0.7,122,1,4,441,520,2609,7,2,16,1,1,1
499,1948,1,0.7,0,2,0,31,0.4,122,2,7,968,1208,2070,5,3,5,1,0,1
